Identity Group Name,Identity Group Description,Identity Group Max Sessions,Identity Group Max Sessions for User in Group
Accounting,Accounting,0,0
Administration,Administration,0,0
Admitting,Admitting,0,0
Anesthesia,Anesthesia,0,0
Bacteriology,Bacteriology,0,0
Behavioral,Behavioral,0,0
Biochemistry,Biochemistry,0,0
Biomedical,Biomedical,0,0
BirthCenter,BirthCenter,0,0
BloodBank,BloodBank,0,0
Cancer,Cancer,0,0
Cardiology,Cardiology,0,0
Chaplain,Chaplain,0,0
Claims,Claims,0,0
Clinic,Clinic,0,0
Coding,Coding,0,0
Communications,Communications,0,0
Community,Community,0,0
Compliance,Compliance,0,0
Coronary,Coronary,0,0
Credentialing,Credentialing,0,0
CriticalCare,CriticalCare,0,0
Cybersecurity,Cybersecurity,0,0
Dental,Dental,0,0
Dermatology,Dermatology,0,0
Dietary,Dietary,0,0
EarNoseThroat,EarNoseThroat,0,0
Electrocardiology,Electrocardiology,0,0
Emergency,Emergency,0,0
Engineering,Engineering,0,0
Executive,Executive,0,0
Facilities,Facilities,0,0
Faculty,Faculty,0,0
Finance,Finance,0,0
FoodService,FoodService,0,0
Foundation,Foundation,0,0
Gastroenterology,Gastroenterology,0,0
GeneralMedicine,GeneralMedicine,0,0
Geriatrics,Geriatrics,0,0
GuestServices,GuestServices,0,0
Gynecology,Gynecology,0,0
Hematology,Hematology,0,0
HomeHealth,HomeHealth,0,0
Hospice,Hospice,0,0
Housekeeping,Housekeeping,0,0
HumanResources,HumanResources,0,0
Imaging,Imaging,0,0
Immunization,Immunization,0,0
InfectiousDisease,InfectiousDisease,0,0
Informatics,Informatics,0,0
Inpatient,Inpatient,0,0
InsuranceServices,InsuranceServices,0,0
IntensiveCare,IntensiveCare,0,0
InternalMedicine,InternalMedicine,0,0
IT,IT,0,0
ITAdministration,ITAdministration,0,0
ITClinicalApps,ITClinicalApps,0,0
ITDataManagement,ITDataManagement,0,0
Laboratory,Laboratory,0,0
Laundry,Laundry,0,0
Legal,Legal,0,0
Library,Library,0,0
Lithotripsy,Lithotripsy,0,0
Maintenance,Maintenance,0,0
Marketing,Marketing,0,0
Materials,Materials,0,0
Mechanical,Mechanical,0,0
Nephrology,Nephrology,0,0
Neurological,Neurological,0,0
Neurology,Neurology,0,0
Neuromuscular,Neuromuscular,0,0
Neurosurgery,Neurosurgery,0,0
NeuroTelemetry,NeuroTelemetry,0,0
Neurovascular,Neurovascular,0,0
NICU,NICU,0,0
Nuclear,Nuclear,0,0
Nursing,Nursing,0,0
Nutrition,Nutrition,0,0
Obstetrics,Obstetrics,0,0
Oncology,Oncology,0,0
Operations,Operations,0,0
Opthamology,Opthamology,0,0
OrganTransplant,OrganTransplant,0,0
OrthopedicClinic,OrthopedicClinic,0,0
Orthopedics,Orthopedics,0,0
Otolaryngology,Otolaryngology,0,0
Outpatient,Outpatient,0,0
PalliativeCare,PalliativeCare,0,0
Paramedical,Paramedical,0,0
Parasitology,Parasitology,0,0
Pathology,Pathology,0,0
Payroll,Payroll,0,0
Pediatrics,Pediatrics,0,0
Personnel,Personnel,0,0
Pharmacy,Pharmacy,0,0
Philanthropy,Philanthropy,0,0
PhysicalTherapy,PhysicalTherapy,0,0
PhysicianBilling,PhysicianBilling,0,0
PhysicianCoding,PhysicianCoding,0,0
PhysicianServices,PhysicianServices,0,0
PlantMaintenance,PlantMaintenance,0,0
PlantOperations,PlantOperations,0,0
PlasticSurgery,PlasticSurgery,0,0
PsychAssessments,PsychAssessments,0,0
PsychiatricClinic,PsychiatricClinic,0,0
Psychiatry,Psychiatry,0,0
PublicRelations,PublicRelations,0,0
Purchasing,Purchasing,0,0
Quality,Quality,0,0
RadiationOncology,RadiationOncology,0,0
Radiology,Radiology,0,0
RadiologyMRI,RadiologyMRI,0,0
RealEstate,RealEstate,0,0
Records,Records,0,0
Registration,Registration,0,0
Rehabilitation,Rehabilitation,0,0
RenalDialysis,RenalDialysis,0,0
Research,Research,0,0
ResearchAdministration,ResearchAdministration,0,0
ResearchGrants,ResearchGrants,0,0
Residency,Residency,0,0
RespiratoryTherapy,RespiratoryTherapy,0,0
Rheumatology,Rheumatology,0,0
RiskManagement,RiskManagement,0,0
Security,Security,0,0
Serology,Serology,0,0
SocialServices,SocialServices,0,0
Speech,Speech,0,0
SportsMedicine,SportsMedicine,0,0
StaffingServices,StaffingServices,0,0
Sterilization,Sterilization,0,0
Stores,Stores,0,0
StrategicPlanning,StrategicPlanning,0,0
Supplies,Supplies,0,0
SupplyServices,SupplyServices,0,0
Surgery,Surgery,0,0
SurgeryHeart,SurgeryHeart,0,0
SurgicalServices,SurgicalServices,0,0
Telecommunications,Telecommunications,0,0
Telehealth,Telehealth,0,0
Telemedicine,Telemedicine,0,0
Telemetry,Telemetry,0,0
Therapy,Therapy,0,0
Thoracic,Thoracic,0,0
TransitionalCare,TransitionalCare,0,0
TransportationServices,TransportationServices,0,0
TraumaCenter,TraumaCenter,0,0
UrgentCare,UrgentCare,0,0
Urology,Urology,0,0
VendorManagement,VendorManagement,0,0
VisitorManagement,VisitorManagement,0,0
VolunteerServices,VolunteerServices,0,0
WalkInClinic,WalkInClinic,0,0
Waste,Waste,0,0
Wellness,Wellness,0,0
