Identity Group Name,Identity Group Description,Identity Group Max Sessions,Identity Group Max Sessions for User in Group
Anthropology and Geography,Anthropology and Geography,0,0
Aerospace,Aerospace,0,0
Agricultural Business,Agricultural Business,0,0
Agriculture,Agriculture,0,0
Agricultural Science,Agricultural Science,0,0
Architecture,Architecture,0,0
Architectural Engineering,Architectural Engineering,0,0
Art and Design,Art and Design,0,0
Animal Science,Animal Science,0,0
Biochemistry,Biochemistry,0,0
Biomedical,Biomedical,0,0
Biological Sciences,Biological Sciences,0,0
Business,Business,0,0
Civil Engineering,Civil Engineering,0,0
Comparative Ethnic Studies,Comparative Ethnic Studies,0,0
Chemistry,Chemistry,0,0
Construction Management,Construction Management,0,0
Construction,Construction,0,0
Computer Engineering,Computer Engineering,0,0
City and Regional Planning,City and Regional Planning,0,0
Computer Science,Computer Science,0,0
Economics,Economics,0,0
Electrical Engineering,Electrical Engineering,0,0
Engineering,Engineering,0,0
English,English,0,0
Ethnic Studies,Ethnic Studies,0,0
Food Science,Food Science,0,0
General Engineering,General Engineering,0,0
History,History,0,0
Industrial Engineering,Industrial Engineering,0,0
Industrial Technology,Industrial Technology,0,0
Journalism,Journalism,0,0
Kinesiology,Kinesiology,0,0
Landscape Architecture,Landscape Architecture,0,0
Languages,Languages,0,0
Law,Law,0,0
Liberal Studies,Liberal Studies,0,0
Manufacturing Engineering,Manufacturing Engineering,0,0
Materials Engineering,Materials Engineering,0,0
Microbiology,Microbiology,0,0
Mechanical Engineering,Mechanical Engineering,0,0
Marine Sciences,Marine Sciences,0,0
Music,Music,0,0
Mathematics,Mathematics,0,0
Natural Resources Management,Natural Resources Management,0,0
Nutrition,Nutrition,0,0
Environmental Engineering,Environmental Engineering,0,0
Environmental Sciences,Environmental Sciences,0,0
Public Health,Public Health,0,0
Philosophy,Philosophy,0,0
Physics,Physics,0,0
Plant Sciences,Plant Sciences,0,0
Political Science,Political Science,0,0
Psychology,Psychology,0,0
Recreation Administration,Recreation Administration,0,0
Science,Science,0,0
Sociology,Sociology,0,0
Statistics,Statistics,0,0
Software Engineering,Software Engineering,0,0
Theatre Arts,Theatre Arts,0,0
Viticulture,Viticulture,0,0
