Name:String(100):Required,Description:String(1024),Type:String(64):Required,Is Root:Boolean(true|false):Required
Department#Department,All Departments,Department,TRUE
Department#Department#Accounting,Accounting,Department,FALSE
Department#Department#Administration,Administration,Department,FALSE
Department#Department#Admitting,Admitting,Department,FALSE
Department#Department#Anesthesia,Anesthesia,Department,FALSE
Department#Department#Bacteriology,Bacteriology,Department,FALSE
Department#Department#Behavioral,Behavioral,Department,FALSE
Department#Department#Biochemistry,Biochemistry,Department,FALSE
Department#Department#Biomedical,Biomedical,Department,FALSE
Department#Department#BirthCenter,BirthCenter,Department,FALSE
Department#Department#BloodBank,BloodBank,Department,FALSE
Department#Department#Cancer,Cancer,Department,FALSE
Department#Department#Cardiology,Cardiology,Department,FALSE
Department#Department#Chaplain,Chaplain,Department,FALSE
Department#Department#Claims,Claims,Department,FALSE
Department#Department#Clinic,Clinic,Department,FALSE
Department#Department#Coding,Coding,Department,FALSE
Department#Department#Communications,Communications,Department,FALSE
Department#Department#Community,Community,Department,FALSE
Department#Department#Compliance,Compliance,Department,FALSE
Department#Department#Coronary,Coronary,Department,FALSE
Department#Department#Credentialing,Credentialing,Department,FALSE
Department#Department#CriticalCare,CriticalCare,Department,FALSE
Department#Department#Cybersecurity,Cybersecurity,Department,FALSE
Department#Department#Dental,Dental,Department,FALSE
Department#Department#Dermatology,Dermatology,Department,FALSE
Department#Department#Dietary,Dietary,Department,FALSE
Department#Department#EarNoseThroat,EarNoseThroat,Department,FALSE
Department#Department#Electrocardiology,Electrocardiology,Department,FALSE
Department#Department#Emergency,Emergency,Department,FALSE
Department#Department#Engineering,Engineering,Department,FALSE
Department#Department#Executive,Executive,Department,FALSE
Department#Department#Facilities,Facilities,Department,FALSE
Department#Department#Faculty,Faculty,Department,FALSE
Department#Department#Finance,Finance,Department,FALSE
Department#Department#FoodService,FoodService,Department,FALSE
Department#Department#Foundation,Foundation,Department,FALSE
Department#Department#Gastroenterology,Gastroenterology,Department,FALSE
Department#Department#GeneralMedicine,GeneralMedicine,Department,FALSE
Department#Department#Geriatrics,Geriatrics,Department,FALSE
Department#Department#GuestServices,GuestServices,Department,FALSE
Department#Department#Gynecology,Gynecology,Department,FALSE
Department#Department#Hematology,Hematology,Department,FALSE
Department#Department#HomeHealth,HomeHealth,Department,FALSE
Department#Department#Hospice,Hospice,Department,FALSE
Department#Department#Housekeeping,Housekeeping,Department,FALSE
Department#Department#HumanResources,HumanResources,Department,FALSE
Department#Department#Imaging,Imaging,Department,FALSE
Department#Department#Immunization,Immunization,Department,FALSE
Department#Department#InfectiousDisease,InfectiousDisease,Department,FALSE
Department#Department#Informatics,Informatics,Department,FALSE
Department#Department#Inpatient,Inpatient,Department,FALSE
Department#Department#InsuranceServices,InsuranceServices,Department,FALSE
Department#Department#IntensiveCare,IntensiveCare,Department,FALSE
Department#Department#InternalMedicine,InternalMedicine,Department,FALSE
Department#Department#IT,IT,Department,FALSE
Department#Department#ITAdministration,ITAdministration,Department,FALSE
Department#Department#ITClinicalApps,ITClinicalApps,Department,FALSE
Department#Department#ITDataManagement,ITDataManagement,Department,FALSE
Department#Department#Laboratory,Laboratory,Department,FALSE
Department#Department#Laundry,Laundry,Department,FALSE
Department#Department#Legal,Legal,Department,FALSE
Department#Department#Library,Library,Department,FALSE
Department#Department#Lithotripsy,Lithotripsy,Department,FALSE
Department#Department#Maintenance,Maintenance,Department,FALSE
Department#Department#Marketing,Marketing,Department,FALSE
Department#Department#Materials,Materials,Department,FALSE
Department#Department#Mechanical,Mechanical,Department,FALSE
Department#Department#Nephrology,Nephrology,Department,FALSE
Department#Department#Neurological,Neurological,Department,FALSE
Department#Department#Neurology,Neurology,Department,FALSE
Department#Department#Neuromuscular,Neuromuscular,Department,FALSE
Department#Department#Neurosurgery,Neurosurgery,Department,FALSE
Department#Department#NeuroTelemetry,NeuroTelemetry,Department,FALSE
Department#Department#Neurovascular,Neurovascular,Department,FALSE
Department#Department#NICU,NICU,Department,FALSE
Department#Department#Nuclear,Nuclear,Department,FALSE
Department#Department#Nursing,Nursing,Department,FALSE
Department#Department#Nutrition,Nutrition,Department,FALSE
Department#Department#Obstetrics,Obstetrics,Department,FALSE
Department#Department#Oncology,Oncology,Department,FALSE
Department#Department#Operations,Operations,Department,FALSE
Department#Department#Opthamology,Opthamology,Department,FALSE
Department#Department#OrganTransplant,OrganTransplant,Department,FALSE
Department#Department#OrthopedicClinic,OrthopedicClinic,Department,FALSE
Department#Department#Orthopedics,Orthopedics,Department,FALSE
Department#Department#Otolaryngology,Otolaryngology,Department,FALSE
Department#Department#Outpatient,Outpatient,Department,FALSE
Department#Department#PalliativeCare,PalliativeCare,Department,FALSE
Department#Department#Paramedical,Paramedical,Department,FALSE
Department#Department#Parasitology,Parasitology,Department,FALSE
Department#Department#Pathology,Pathology,Department,FALSE
Department#Department#Payroll,Payroll,Department,FALSE
Department#Department#Pediatrics,Pediatrics,Department,FALSE
Department#Department#Personnel,Personnel,Department,FALSE
Department#Department#Pharmacy,Pharmacy,Department,FALSE
Department#Department#Philanthropy,Philanthropy,Department,FALSE
Department#Department#PhysicalTherapy,PhysicalTherapy,Department,FALSE
Department#Department#PhysicianBilling,PhysicianBilling,Department,FALSE
Department#Department#PhysicianCoding,PhysicianCoding,Department,FALSE
Department#Department#PhysicianServices,PhysicianServices,Department,FALSE
Department#Department#PlantMaintenance,PlantMaintenance,Department,FALSE
Department#Department#PlantOperations,PlantOperations,Department,FALSE
Department#Department#PlasticSurgery,PlasticSurgery,Department,FALSE
Department#Department#PsychAssessments,PsychAssessments,Department,FALSE
Department#Department#PsychiatricClinic,PsychiatricClinic,Department,FALSE
Department#Department#Psychiatry,Psychiatry,Department,FALSE
Department#Department#PublicRelations,PublicRelations,Department,FALSE
Department#Department#Purchasing,Purchasing,Department,FALSE
Department#Department#Quality,Quality,Department,FALSE
Department#Department#RadiationOncology,RadiationOncology,Department,FALSE
Department#Department#Radiology,Radiology,Department,FALSE
Department#Department#RadiologyMRI,RadiologyMRI,Department,FALSE
Department#Department#RealEstate,RealEstate,Department,FALSE
Department#Department#Records,Records,Department,FALSE
Department#Department#Registration,Registration,Department,FALSE
Department#Department#Rehabilitation,Rehabilitation,Department,FALSE
Department#Department#RenalDialysis,RenalDialysis,Department,FALSE
Department#Department#Research,Research,Department,FALSE
Department#Department#ResearchAdministration,ResearchAdministration,Department,FALSE
Department#Department#ResearchGrants,ResearchGrants,Department,FALSE
Department#Department#Residency,Residency,Department,FALSE
Department#Department#RespiratoryTherapy,RespiratoryTherapy,Department,FALSE
Department#Department#Rheumatology,Rheumatology,Department,FALSE
Department#Department#RiskManagement,RiskManagement,Department,FALSE
Department#Department#Security,Security,Department,FALSE
Department#Department#Serology,Serology,Department,FALSE
Department#Department#SocialServices,SocialServices,Department,FALSE
Department#Department#Speech,Speech,Department,FALSE
Department#Department#SportsMedicine,SportsMedicine,Department,FALSE
Department#Department#StaffingServices,StaffingServices,Department,FALSE
Department#Department#Sterilization,Sterilization,Department,FALSE
Department#Department#Stores,Stores,Department,FALSE
Department#Department#StrategicPlanning,StrategicPlanning,Department,FALSE
Department#Department#Supplies,Supplies,Department,FALSE
Department#Department#SupplyServices,SupplyServices,Department,FALSE
Department#Department#Surgery,Surgery,Department,FALSE
Department#Department#SurgeryHeart,SurgeryHeart,Department,FALSE
Department#Department#SurgicalServices,SurgicalServices,Department,FALSE
Department#Department#Telecommunications,Telecommunications,Department,FALSE
Department#Department#Telehealth,Telehealth,Department,FALSE
