Name:String(100):Required,Description:String(1024),Type:String(64):Required,Is Root:Boolean(true|false):Required
Location#All Locations#AMER,AMER,Location,FALSE
Location#All Locations#AMER#AR,AR,Location,FALSE
Location#All Locations#AMER#AR#BUA,BUA,Location,FALSE
Location#All Locations#AMER#AR#BUA#BUA-1-1,BUA-1-1,Location,FALSE
Location#All Locations#AMER#BR,BR,Location,FALSE
Location#All Locations#AMER#BR#RDJ,RDJ,Location,FALSE
Location#All Locations#AMER#BR#RDJ#RDJ-1-1,RDJ-1-1,Location,FALSE
Location#All Locations#AMER#CA,CA,Location,FALSE
Location#All Locations#AMER#CA#VNC,VNC,Location,FALSE
Location#All Locations#AMER#CA#VNC#VNC-1-1,VNC-1-1,Location,FALSE
Location#All Locations#AMER#MX,MX,Location,FALSE
Location#All Locations#AMER#MX#MXC,MXC,Location,FALSE
Location#All Locations#AMER#MX#MXC#MXC-1-1,MXC-1-1,Location,FALSE
Location#All Locations#AMER#US,US,Location,FALSE
Location#All Locations#AMER#US#DAL,DAL,Location,FALSE
Location#All Locations#AMER#US#DAL#DAL-1-1,DAL-1-1,Location,FALSE
Location#All Locations#AMER#US#HRN,HRN,Location,FALSE
Location#All Locations#AMER#US#HRN#HRN-1-1,HRN-1-1,Location,FALSE
Location#All Locations#AMER#US#MIA,MIA,Location,FALSE
Location#All Locations#AMER#US#MIA#MIA-1-1,MIA-1-1,Location,FALSE
Location#All Locations#AMER#US#NYC,NYC,Location,FALSE
Location#All Locations#AMER#US#NYC#NYC-1-1,NYC-1-1,Location,FALSE
Location#All Locations#AMER#US#RTP,RTP,Location,FALSE
Location#All Locations#AMER#US#RTP#RTP-1-1,RTP-1-1,Location,FALSE
Location#All Locations#AMER#US#RTP#RTP-2-1,RTP-2-1,Location,FALSE
Location#All Locations#AMER#US#RTP#RTP-3-1,RTP-3-1,Location,FALSE
Location#All Locations#AMER#US#SFO,SFO,Location,FALSE
Location#All Locations#AMER#US#SFO#SFO-1-1,SFO-1-1,Location,FALSE
Location#All Locations#AMER#US#SJC,SJC,Location,FALSE
Location#All Locations#AMER#US#SJC#SJC-1-1,SJC-1-1,Location,FALSE
Location#All Locations#AMER#US#SJC#SJC-1-2,SJC-1-2,Location,FALSE
Location#All Locations#AMER#US#SJC#SJC-1-3,SJC-1-3,Location,FALSE
Location#All Locations#AMER#US#SJC#SJC-1-4,SJC-1-4,Location,FALSE
Location#All Locations#AMER#US#SJC#SJC-1-5,SJC-1-5,Location,FALSE
Location#All Locations#AMER#US#SJC#SJC-2-1,SJC-2-1,Location,FALSE
